iter	Passed	Remaining
0	2	256
1	4	235
2	9	296
3	11	274
4	13	260
5	15	249
6	18	239
7	20	233
8	22	227
9	24	220
10	26	214
11	28	210
12	30	206
13	33	203
14	35	201
15	37	198
16	40	195
17	42	192
18	44	189
19	46	187
20	48	181
21	50	179
22	52	177
23	55	174
24	57	172
25	59	170
26	62	168
27	64	166
28	66	162
29	68	160
30	70	158
31	73	155
32	75	153
33	78	151
34	80	149
35	82	146
36	84	144
37	86	141
38	88	139
39	91	136
40	93	134
41	95	132
42	98	130
43	100	128
44	103	126
45	105	123
46	107	121
47	110	119
48	112	117
49	114	114
50	117	112
51	119	110
52	121	107
53	122	104
54	124	102
55	126	99
56	129	97
57	131	95
58	133	92
59	135	90
60	138	88
61	140	86
62	142	83
63	145	81
64	147	79
65	149	76
66	151	74
67	153	72
68	156	70
69	158	68
70	160	65
71	162	63
72	165	61
73	167	58
74	169	56
75	171	54
76	173	51
77	176	49
78	178	47
79	180	45
80	183	42
81	185	40
82	187	38
83	188	35
84	191	33
85	193	31
86	195	29
87	197	26
88	199	24
89	201	22
90	204	20
91	206	17
92	208	15
93	210	13
94	213	11
95	215	8
96	217	6
97	219	4
98	222	2
99	224	0
