iter	Passed	Remaining
0	151	151630
1	156	78145
2	161	53753
3	164	41076
4	170	34019
5	174	28991
6	177	25249
7	181	22518
8	185	20388
9	188	18681
10	192	17350
11	196	16166
12	199	15152
13	202	14288
14	205	13521
15	208	12841
16	212	12306
17	218	11893
18	221	11433
19	225	11059
20	229	10680
21	232	10317
22	235	9984
23	240	9768
24	243	9498
25	247	9277
26	250	9024
27	254	8827
28	257	8629
29	260	8424
30	263	8222
31	266	8070
32	271	7956
33	275	7814
34	278	7675
35	281	7536
36	285	7433
37	288	7305
38	292	7196
39	294	7078
40	298	6977
41	302	6894
42	306	6827
43	310	6747
44	314	6670
45	318	6600
46	322	6530
47	325	6447
48	328	6377
49	332	6316
50	336	6259
51	339	6187
52	343	6134
53	346	6078
54	350	6027
55	353	5965
56	356	5899
57	360	5849
58	363	5797
59	366	5744
60	370	5705
61	374	5670
62	381	5671
63	385	5634
64	389	5596
65	392	5561
66	396	5525
67	400	5491
68	405	5471
69	409	5438
70	413	5414
71	417	5382
72	422	5364
73	426	5335
74	431	5316
75	435	5298
76	440	5278
77	443	5241
78	448	5226
79	452	5198
80	455	5166
81	459	5146
82	461	5102
83	465	5072
84	469	5049
85	471	5015
86	477	5009
87	480	4979
88	484	4958
89	487	4929
90	491	4910
91	496	4897
92	499	4873
93	502	4846
94	507	4838
95	512	4822
96	515	4798
97	518	4770
98	522	4751
99	525	4728
100	530	4726
101	535	4711
102	540	4702
103	560	4831
104	563	4804
105	568	4798
106	574	4795
107	578	4774
108	584	4778
109	588	4764
110	592	4745
111	595	4720
112	598	4701
113	605	4703
114	608	4683
115	615	4691
116	619	4676
117	622	4655
118	629	4662
119	632	4641
120	637	4631
121	641	4618
122	647	4614
123	650	4596
124	653	4575
125	658	4569
126	661	4544
127	665	4535
128	671	4531
129	674	4515
130	680	4510
131	685	4504
132	688	4486
133	693	4482
134	697	4466
135	706	4488
136	710	4475
137	716	4475
138	720	4462
139	724	4448
140	728	4440
141	731	4422
142	735	4408
143	739	4395
144	746	4402
145	755	4416
146	758	4402
147	763	4392
148	769	4392
149	773	4384
150	778	4375
151	783	4370
152	787	4356
153	790	4341
154	794	4331
155	799	4322
156	803	4316
157	811	4324
158	818	4330
159	825	4333
160	827	4313
161	833	4310
162	840	4316
163	844	4305
164	847	4291
165	851	4280
166	856	4274
167	862	4269
168	865	4257
169	874	4270
170	879	4263
171	883	4254
172	887	4244
173	891	4232
174	896	4224
175	902	4223
176	912	4242
177	917	4238
178	923	4237
179	932	4249
180	937	4242
181	941	4231
182	946	4223
183	952	4223
184	955	4210
185	963	4215
186	968	4209
187	986	4262
188	1005	4313
189	1016	4333
190	1029	4359
191	1037	4367
192	1043	4362
193	1047	4353
194	1054	4352
195	1059	4345
196	1064	4338
197	1078	4368
198	1087	4378
199	1091	4366
200	1107	4400
201	1113	4399
202	1118	4391
203	1139	4447
204	1144	4436
205	1150	4434
206	1155	4426
207	1164	4432
208	1167	4419
209	1175	4422
210	1179	4408
211	1196	4447
212	1199	4433
213	1203	4420
214	1207	4408
215	1212	4401
216	1216	4389
217	1220	4379
218	1226	4372
219	1232	4370
220	1237	4362
221	1242	4352
222	1246	4342
223	1250	4331
224	1254	4321
225	1258	4310
226	1261	4296
227	1265	4286
228	1270	4277
229	1274	4265
230	1277	4254
231	1282	4244
232	1286	4235
233	1290	4223
234	1294	4215
235	1298	4202
236	1301	4190
237	1306	4182
238	1311	4175
239	1314	4163
240	1318	4152
241	1321	4139
242	1325	4128
243	1337	4143
244	1344	4142
245	1347	4131
246	1352	4122
247	1358	4120
248	1362	4107
249	1366	4099
250	1373	4099
251	1416	4205
252	1423	4202
253	1431	4203
254	1437	4198
255	1443	4194
256	1453	4202
257	1464	4211
258	1479	4233
259	1488	4236
260	1494	4232
261	1505	4240
262	1564	4383
263	1602	4468
264	1634	4534
265	1653	4561
266	1764	4843
267	1967	5372
268	1973	5362
269	1988	5376
270	1992	5359
271	2008	5375
272	2014	5363
273	2017	5345
274	2022	5332
275	2061	5407
276	2068	5399
277	2076	5393
278	2083	5383
279	2087	5366
280	2108	5395
281	2112	5378
282	2117	5363
283	2122	5351
284	2126	5335
285	2130	5319
286	2135	5304
287	2141	5293
288	2159	5313
289	2172	5318
290	2177	5306
291	2186	5300
292	2191	5288
293	2196	5275
294	2202	5264
295	2206	5247
296	2210	5231
297	2215	5218
298	2218	5202
299	2227	5197
300	2237	5195
301	2249	5198
302	2253	5184
303	2258	5171
304	2263	5157
305	2269	5146
306	2280	5146
307	2294	5155
308	2299	5141
309	2305	5131
310	2309	5116
311	2313	5101
312	2319	5091
313	2323	5077
314	2328	5064
315	2332	5049
316	2338	5037
317	2342	5023
318	2346	5010
319	2352	4998
320	2355	4982
321	2359	4967
322	2362	4950
323	2365	4936
324	2369	4921
325	2373	4907
326	2377	4892
327	2381	4879
328	2386	4866
329	2389	4852
330	2393	4836
331	2397	4823
332	2400	4808
333	2405	4795
334	2414	4793
335	2419	4781
336	2423	4768
337	2428	4756
338	2432	4743
339	2436	4729
340	2443	4721
341	2447	4708
342	2450	4694
343	2455	4682
344	2459	4669
345	2463	4656
346	2467	4642
347	2470	4628
348	2474	4615
349	2478	4603
350	2488	4601
351	2496	4595
352	2501	4585
353	2505	4572
354	2513	4566
355	2517	4553
356	2521	4541
357	2525	4529
358	2531	4519
359	2535	4507
360	2541	4497
361	2543	4483
362	2547	4470
363	2550	4456
364	2553	4443
365	2557	4430
366	2561	4418
367	2565	4405
368	2569	4393
369	2572	4379
370	2577	4369
371	2580	4356
372	2584	4343
373	2587	4331
374	2593	4322
375	2596	4309
376	2600	4296
377	2603	4283
378	2606	4270
379	2610	4258
380	2616	4251
381	2620	4239
382	2624	4227
383	2627	4214
384	2630	4202
385	2634	4190
386	2637	4177
387	2641	4166
388	2645	4155
389	2649	4143
390	2652	4131
391	2656	4119
392	2659	4107
393	2662	4095
394	2667	4085
395	2670	4073
396	2675	4063
397	2678	4050
398	2682	4040
399	2685	4028
400	2689	4018
401	2692	4005
402	2698	3997
403	2700	3984
404	2707	3977
405	2709	3964
406	2713	3954
407	2716	3941
408	2720	3931
409	2724	3920
410	2727	3908
411	2731	3898
412	2735	3888
413	2739	3877
414	2742	3865
415	2748	3858
416	2751	3847
417	2759	3841
418	2764	3833
419	2767	3822
420	2771	3811
421	2774	3800
422	2779	3791
423	2782	3780
424	2786	3770
425	2791	3760
426	2794	3750
427	2798	3740
428	2801	3729
429	2808	3722
430	2811	3712
431	2815	3701
432	2819	3691
433	2824	3683
434	2827	3672
435	2831	3662
436	2835	3653
437	2839	3643
438	2842	3632
439	2846	3623
440	2851	3614
441	2855	3605
442	2860	3596
443	2864	3586
444	2867	3575
445	2870	3566
446	2874	3556
447	2877	3545
448	2881	3536
449	2886	3527
450	2889	3517
451	2893	3507
452	2896	3498
453	2900	3487
454	2903	3477
455	2907	3468
456	2910	3458
457	2914	3449
458	2917	3439
459	2921	3429
460	2925	3420
461	2929	3410
462	2933	3401
463	2937	3393
464	2940	3383
465	2944	3373
466	2946	3363
467	2950	3354
468	2955	3346
469	2959	3337
470	2962	3327
471	2969	3321
472	2972	3312
473	2976	3302
474	2984	3299
475	2988	3289
476	2992	3280
477	2996	3272
478	3000	3263
479	3004	3254
480	3008	3245
481	3013	3238
482	3017	3229
483	3021	3220
484	3026	3213
485	3030	3204
486	3032	3194
487	3036	3186
488	3040	3176
489	3043	3167
490	3047	3158
491	3051	3150
492	3056	3143
493	3059	3134
494	3063	3125
495	3066	3116
496	3072	3109
497	3076	3100
498	3079	3091
499	3083	3083
500	3088	3076
501	3092	3067
502	3096	3059
503	3100	3051
504	3105	3043
505	3110	3036
506	3113	3027
507	3117	3019
508	3120	3010
509	3125	3002
510	3128	2993
511	3132	2985
512	3137	2978
513	3140	2969
514	3145	2961
515	3149	2953
516	3152	2945
517	3155	2936
518	3159	2928
519	3163	2919
520	3165	2910
521	3171	2903
522	3178	2899
523	3183	2892
524	3187	2883
525	3192	2876
526	3197	2869
527	3200	2861
528	3204	2853
529	3209	2846
530	3214	2839
531	3219	2831
532	3223	2824
533	3226	2815
534	3230	2808
535	3238	2803
536	3245	2798
537	3251	2792
538	3255	2784
539	3259	2776
540	3264	2769
541	3269	2762
542	3275	2756
543	3281	2750
544	3285	2742
545	3290	2736
546	3294	2728
547	3303	2725
548	3317	2725
549	3323	2719
550	3331	2715
551	3336	2707
552	3342	2702
553	3346	2694
554	3353	2688
555	3362	2685
556	3368	2678
557	3374	2673
558	3385	2670
559	3389	2663
560	3394	2656
561	3398	2648
562	3402	2641
563	3406	2633
564	3410	2625
565	3414	2618
566	3420	2612
567	3424	2604
568	3428	2596
569	3433	2590
570	3437	2582
571	3444	2576
572	3449	2570
573	3455	2564
574	3460	2558
575	3464	2550
576	3468	2542
577	3476	2538
578	3479	2530
579	3484	2522
580	3489	2516
581	3492	2508
582	3500	2503
583	3504	2496
584	3507	2488
585	3513	2482
586	3517	2474
587	3520	2466
588	3525	2459
589	3531	2454
590	3535	2446
591	3542	2441
592	3549	2436
593	3553	2428
594	3559	2422
595	3562	2415
596	3569	2409
597	3572	2401
598	3577	2394
599	3581	2387
600	3586	2380
601	3595	2377
602	3600	2370
603	3605	2363
604	3608	2356
605	3614	2350
